                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0956,                 1.3647,                 1.2022,                0.65828,                0.53205,                0.61516,                0.45688,                 1.0813,                 1.1282,                 1.1243,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2148,                 1.4379,                 1.2672,                 0.6889,                0.53907,                0.63218,                0.46692,                 1.0753,                 1.0875,                 1.1208,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1855,                 1.3194,                 1.2365,                0.68776,                0.55453,                0.64291,                0.47675,                 1.0682,                 1.0632,                 1.1178,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1419,                 1.2951,                 1.2363,                0.69979,                0.58316,                0.66389,                0.49135,                 1.0552,                 1.0382,                 1.1087,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.2144,                 1.3291,                 1.2287,                0.68751,                 0.6083,                0.68484,                0.50585,                 1.0397,                 1.0121,                  1.095,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1218,                   1.16,                 1.1958,                0.67283,                0.64466,                0.70035,                0.52437,                 1.0261,                0.99502,                 1.0848,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                  1.121,                 1.1751,                 1.1983,                0.72225,                0.64463,                0.71515,                0.53654,                 1.0179,                0.97738,                 1.0802,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.0801,                 1.1258,                 1.1627,                0.72989,                0.66081,                0.72722,                0.54431,                 1.0124,                0.94885,                 1.0767,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0799,                 1.0941,                 1.1607,                0.75935,                0.65985,                0.73431,                0.55281,                 1.0082,                0.92236,                 1.0736,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0726,                 1.1169,                 1.1753,                 0.7321,                 0.6829,                0.73932,                0.55262,                 1.0016,                 0.9013,                 1.0685,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.1127,                  1.092,                 1.1696,                0.76114,                0.67709,                0.75144,                0.56567,                0.98768,                 0.8696,                 1.0606,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0151,                 1.0349,                 1.1363,                0.77617,                0.67459,                 0.7604,                0.57954,                0.97412,                0.84398,                 1.0516,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0731,                  1.035,                 1.1803,                0.80746,                0.67784,                0.76647,                0.58526,                 0.9653,                0.82692,                 1.0465,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0794,                 1.0656,                 1.1521,                0.81041,                0.68152,                0.77686,                0.59489,                0.96295,                0.81467,                 1.0435,             0.00010486,             0.00010486,             0.00010486
                     15,                 1.0866,                 1.0473,                 1.1507,                0.75406,                0.71896,                0.78189,                0.59824,                0.96363,                0.80555,                 1.0423,             0.00010368,             0.00010368,             0.00010368
                     16,                 1.0455,                 1.0138,                 1.1398,                0.79698,                0.71782,                0.80362,                0.61576,                0.95622,                0.79074,                 1.0381,             0.00010251,             0.00010251,             0.00010251
                     17,                 1.0254,                 1.0362,                 1.1372,                0.79977,                0.71844,                0.80983,                0.62272,                0.94115,                0.77775,                 1.0336,             0.00010133,             0.00010133,             0.00010133
                     18,                  1.049,                0.98333,                 1.1375,                0.81965,                0.72486,                0.81683,                0.62847,                 0.9296,                0.76326,                 1.0277,             0.00010015,             0.00010015,             0.00010015
                     19,                0.98371,                0.95547,                 1.1321,                0.82025,                0.72601,                 0.8201,                0.63074,                0.92076,                0.74885,                 1.0225,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                0.96801,                0.91514,                 1.1074,                0.80789,                0.75012,                0.82209,                0.63221,                0.91148,                 0.7368,                 1.0175,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                  1.017,                0.93532,                 1.1289,                0.84239,                0.73101,                0.82406,                0.63676,                0.90393,                0.72472,                 1.0128,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                  1.022,                0.92239,                 1.1331,                0.86464,                0.72889,                0.82893,                0.64104,                0.90379,                0.71657,                 1.0109,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                0.99802,                0.91478,                 1.0979,                0.80346,                0.77286,                0.83639,                0.65094,                0.89922,                0.70845,                 1.0072,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                0.96052,                0.91376,                 1.1021,                0.79223,                0.77595,                0.83286,                0.65126,                0.89715,                0.70503,                 1.0063,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                0.96772,                0.89272,                 1.1014,                0.80321,                0.77367,                0.83509,                0.65263,                0.89344,                0.69623,                 1.0064,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     26,                0.96851,                0.93146,                 1.1113,                0.80892,                0.77764,                0.83733,                0.65494,                0.88733,                0.68987,                 1.0046,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     27,                0.98531,                0.90016,                 1.1228,                0.80211,                0.78264,                0.83928,                0.65783,                0.87412,                 0.6831,                 1.0001,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     28,                0.98308,                0.86138,                 1.1126,                 0.7924,                0.80291,                0.84778,                0.66779,                0.86212,                0.67142,                0.99474,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     29,                0.96771,                0.86202,                 1.0983,                0.79645,                0.81114,                0.85173,                0.67617,                0.85173,                0.66387,                0.98841,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     30,                0.94465,                0.80313,                 1.0617,                0.79805,                0.81135,                 0.8528,                 0.6761,                0.84625,                0.66291,                0.98429,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     31,                0.98507,                0.87702,                 1.0969,                0.80082,                 0.8135,                0.85611,                0.67789,                0.84113,                0.65124,                0.98035,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     32,                0.88582,                0.80375,                 1.0775,                0.79238,                0.81781,                0.85543,                0.68058,                0.83694,                0.64042,                0.97776,             8.3657e-05,             8.3657e-05,             8.3657e-05
